SolvedBoard	PuzzleBoard	Uid
[[3, 8, 4, 9, 1, 2, 5, 7, 6], [6, 9, 2, 8, 5, 7, 3, 4, 1], [5, 7, 1, 4, 6, 3, 8, 9, 2], [7, 5, 6, 2, 4, 1, 9, 3, 8], [8, 4, 9, 6, 3, 5, 2, 1, 7], [1, 2, 3, 7, 9, 8, 4, 6, 5], [9, 3, 5, 1, 2, 6, 7, 8, 4], [2, 1, 7, 3, 8, 4, 6, 5, 9], [4, 6, 8, 5, 7, 9, 1, 2, 3]]	[[0, 0, 0, 0, 1, 0, 5, 0, 0], [0, 0, 2, 8, 0, 0, 0, 4, 0], [5, 0, 0, 4, 0, 0, 0, 9, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [8, 0, 0, 0, 3, 0, 0, 0, 7], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 3, 0, 0, 0, 6, 0, 0, 4], [0, 1, 0, 0, 0, 4, 6, 0, 0], [0, 0, 8, 0, 7, 0, 0, 0, 0]]	10500002800040500400090000000000800030007000000000030006004010004600008070000
[[6, 8, 3, 1, 5, 4, 9, 7, 2], [7, 4, 5, 2, 9, 6, 8, 3, 1], [1, 9, 2, 7, 8, 3, 5, 4, 6], [9, 2, 6, 5, 1, 7, 3, 8, 4], [8, 1, 7, 3, 4, 2, 6, 9, 5], [5, 3, 4, 8, 6, 9, 1, 2, 7], [4, 7, 8, 6, 3, 5, 2, 1, 9], [3, 5, 9, 4, 2, 1, 7, 6, 8], [2, 6, 1, 9, 7, 8, 4, 5, 3]]	[[0, 0, 0, 0, 5, 0, 9, 0, 2], [7, 4, 0, 0, 9, 6, 0, 0, 1], [0, 0, 0, 7, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 3, 8, 4], [8, 0, 0, 0, 0, 0, 0, 0, 5], [5, 3, 4, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 5, 0, 0, 0], [3, 0, 0, 4, 2, 0, 0, 6, 8], [2, 0, 1, 0, 7, 0, 0, 0, 0]]	50902740096001000700000000000384800000005534000000000005000300420068201070000
[[8, 4, 6, 2, 7, 5, 1, 9, 3], [7, 1, 2, 3, 9, 6, 4, 5, 8], [3, 9, 5, 8, 1, 4, 6, 7, 2], [2, 6, 9, 5, 4, 8, 7, 3, 1], [1, 5, 8, 7, 2, 3, 9, 4, 6], [4, 7, 3, 9, 6, 1, 8, 2, 5], [5, 3, 4, 1, 8, 9, 2, 6, 7], [9, 8, 7, 6, 3, 2, 5, 1, 4], [6, 2, 1, 4, 5, 7, 3, 8, 9]]	[[0, 0, 0, 0, 0, 0, 0, 0, 0], [7, 1, 0, 3, 0, 6, 0, 0, 0], [0, 9, 0, 8, 1, 0, 0, 0, 2], [0, 0, 0, 0, 4, 0, 0, 0, 1], [0, 5, 8, 7, 2, 3, 9, 4, 0], [4, 0, 0, 0, 6, 0, 0, 0, 0], [5, 0, 0, 0, 8, 9, 0, 6, 0], [0, 0, 0, 6, 0, 2, 0, 1, 4], [0, 0, 0, 0, 0, 0, 0, 0, 0]]	710306000090810002000040001058723940400060000500089060000602014000000000
[[7, 6, 9, 1, 4, 8, 5, 3, 2], [8, 4, 2, 5, 3, 6, 1, 9, 7], [3, 5, 1, 2, 7, 9, 4, 8, 6], [9, 7, 6, 4, 5, 3, 2, 1, 8], [5, 3, 8, 6, 2, 1, 7, 4, 9], [1, 2, 4, 8, 9, 7, 6, 5, 3], [6, 9, 3, 7, 1, 5, 8, 2, 4], [2, 1, 7, 3, 8, 4, 9, 6, 5], [4, 8, 5, 9, 6, 2, 3, 7, 1]]	[[0, 0, 0, 0, 0, 0, 0, 0, 2], [0, 0, 0, 0, 0, 6, 0, 0, 0], [0, 0, 0, 0, 7, 0, 0, 8, 0], [9, 0, 0, 0, 5, 0, 0, 1, 0], [5, 3, 0, 0, 2, 0, 0, 4, 9], [0, 2, 0, 0, 9, 0, 0, 0, 3], [0, 9, 0, 0, 1, 0, 0, 0, 0], [0, 0, 0, 3, 0, 0, 0, 0, 0], [4, 0, 0, 0, 0, 0, 0, 0, 0]]	2000006000000070080900050010530020049020090003090010000000300000400000000
[[8, 7, 2, 5, 1, 4, 6, 3, 9], [9, 1, 5, 2, 6, 3, 8, 4, 7], [3, 4, 6, 7, 8, 9, 1, 2, 5], [4, 2, 8, 1, 7, 5, 3, 9, 6], [7, 6, 3, 9, 4, 8, 5, 1, 2], [1, 5, 9, 6, 3, 2, 4, 7, 8], [6, 8, 1, 3, 9, 7, 2, 5, 4], [2, 9, 4, 8, 5, 1, 7, 6, 3], [5, 3, 7, 4, 2, 6, 9, 8, 1]]	[[8, 7, 0, 0, 0, 4, 6, 0, 9], [0, 0, 0, 0, 6, 0, 0, 0, 7], [0, 4, 0, 7, 0, 0, 1, 2, 5], [0, 2, 0, 0, 0, 0, 0, 0, 0], [0, 6, 0, 0, 4, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 7, 0], [6, 8, 1, 0, 0, 7, 0, 5, 0], [2, 0, 0, 0, 5, 0, 0, 0, 0], [5, 0, 7, 4, 0, 0, 0, 8, 1]]	870004609000060007040700125020000000060040010000000070681007050200050000507400081
[[1, 9, 4, 2, 5, 3, 8, 7, 6], [5, 3, 6, 8, 7, 4, 1, 2, 9], [7, 8, 2, 9, 6, 1, 5, 4, 3], [9, 5, 1, 6, 8, 7, 4, 3, 2], [4, 7, 3, 1, 2, 9, 6, 5, 8], [6, 2, 8, 4, 3, 5, 7, 9, 1], [2, 1, 7, 3, 4, 8, 9, 6, 5], [3, 4, 9, 5, 1, 6, 2, 8, 7], [8, 6, 5, 7, 9, 2, 3, 1, 4]]	[[0, 0, 0, 0, 0, 3, 0, 0, 0], [0, 3, 6, 0, 0, 4, 0, 0, 0], [7, 0, 0, 9, 0, 1, 5, 0, 0], [0, 5, 0, 0, 0, 0, 0, 0, 0], [4, 0, 0, 1, 0, 9, 0, 0, 8], [0, 0, 0, 0, 0, 0, 0, 9, 0], [0, 0, 7, 3, 0, 8, 0, 0, 5], [0, 0, 0, 5, 0, 0, 2, 8, 0], [0, 0, 0, 7, 0, 0, 0, 0, 0]]	3000036004000700901500050000000400109008000000090007308005000500280000700000
[[2, 6, 4, 8, 1, 7, 5, 9, 3], [7, 8, 3, 9, 5, 2, 1, 4, 6], [9, 5, 1, 3, 4, 6, 8, 2, 7], [6, 2, 7, 4, 3, 8, 9, 1, 5], [5, 4, 9, 6, 7, 1, 3, 8, 2], [1, 3, 8, 5, 2, 9, 7, 6, 4], [4, 9, 5, 2, 8, 3, 6, 7, 1], [3, 1, 6, 7, 9, 4, 2, 5, 8], [8, 7, 2, 1, 6, 5, 4, 3, 9]]	[[0, 6, 0, 8, 0, 7, 0, 0, 0], [7, 0, 3, 9, 5, 2, 0, 0, 0], [0, 0, 0, 3, 0, 0, 0, 0, 0], [6, 0, 7, 0, 3, 0, 9, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 8, 0, 2, 0, 7, 0, 4], [0, 0, 0, 0, 0, 3, 0, 0, 0], [0, 0, 0, 7, 9, 4, 2, 0, 8], [0, 0, 0, 1, 0, 5, 0, 3, 0]]	60807000703952000000300000607030900000000000008020704000003000000794208000105030
[[6, 3, 2, 7, 8, 1, 9, 5, 4], [4, 1, 9, 5, 6, 3, 7, 8, 2], [5, 8, 7, 2, 9, 4, 6, 3, 1], [3, 4, 1, 6, 2, 8, 5, 7, 9], [2, 7, 6, 3, 5, 9, 1, 4, 8], [8, 9, 5, 1, 4, 7, 3, 2, 6], [9, 6, 3, 8, 7, 2, 4, 1, 5], [1, 2, 4, 9, 3, 5, 8, 6, 7], [7, 5, 8, 4, 1, 6, 2, 9, 3]]	[[0, 3, 0, 7, 0, 1, 0, 0, 0], [0, 0, 0, 0, 6, 3, 0, 0, 0], [5, 0, 0, 2, 0, 0, 6, 0, 1], [0, 0, 0, 0, 2, 0, 0, 0, 0], [0, 0, 0, 0, 5, 0, 0, 0, 0], [0, 0, 0, 0, 4, 0, 0, 0, 0], [9, 0, 3, 0, 0, 2, 0, 0, 5], [0, 0, 0, 9, 3, 0, 0, 0, 0], [0, 0, 0, 4, 0, 6, 0, 9, 0]]	30701000000063000500200601000020000000050000000040000903002005000930000000406090
[[6, 2, 9, 5, 7, 4, 1, 3, 8], [5, 4, 3, 1, 8, 2, 6, 9, 7], [7, 8, 1, 6, 3, 9, 2, 5, 4], [2, 1, 7, 4, 9, 5, 8, 6, 3], [8, 3, 4, 7, 6, 1, 5, 2, 9], [9, 5, 6, 3, 2, 8, 4, 7, 1], [4, 6, 5, 9, 1, 7, 3, 8, 2], [1, 9, 2, 8, 5, 3, 7, 4, 6], [3, 7, 8, 2, 4, 6, 9, 1, 5]]	[[0, 0, 0, 5, 0, 0, 1, 0, 8], [5, 0, 0, 0, 0, 2, 0, 0, 7], [0, 0, 1, 0, 3, 0, 2, 0, 4], [2, 0, 7, 4, 0, 5, 0, 6, 0], [0, 0, 4, 0, 0, 0, 5, 0, 0], [0, 5, 0, 3, 0, 8, 4, 0, 1], [4, 0, 5, 0, 1, 0, 3, 0, 0], [1, 0, 0, 8, 0, 0, 0, 0, 6], [3, 0, 8, 0, 0, 6, 0, 0, 0]]	500108500002007001030204207405060004000500050308401405010300100800006308006000
[[1, 5, 2, 8, 6, 3, 9, 7, 4], [4, 7, 6, 5, 9, 1, 8, 3, 2], [9, 8, 3, 4, 2, 7, 5, 6, 1], [8, 3, 7, 1, 5, 6, 4, 2, 9], [5, 2, 4, 9, 3, 8, 7, 1, 6], [6, 1, 9, 2, 7, 4, 3, 5, 8], [3, 4, 5, 6, 8, 2, 1, 9, 7], [2, 9, 8, 7, 1, 5, 6, 4, 3], [7, 6, 1, 3, 4, 9, 2, 8, 5]]	[[1, 0, 0, 0, 0, 0, 0, 0, 0], [4, 0, 0, 0, 9, 0, 8, 0, 2], [9, 0, 0, 0, 0, 0, 0, 0, 0], [8, 0, 7, 0, 5, 0, 0, 0, 0], [0, 2, 0, 9, 0, 8, 0, 1, 0], [0, 0, 0, 0, 7, 0, 3, 0, 8], [0, 0, 0, 0, 0, 0, 0, 0, 7], [2, 0, 8, 0, 1, 0, 0, 0, 3], [0, 0, 0, 0, 0, 0, 0, 0, 5]]	100000000400090802900000000807050000020908010000070308000000007208010003000000005
